PLAYER_ID,PLAYER_NAME,CURRENT_TEAM_ID
1631133,Jabari Walker,Portland Trail Blazers
1631157,Ryan Rollins,Washington Wizards
1631159,Leonard Miller,Minnesota Timberwolves
1631165,Keon Ellis,Sacramento Kings
1631167,Izaiah Brockington,New Orleans Pelicans
1631169,Josh Minott,Minnesota Timberwolves
1631170,Jaime Jaquez Jr.,Miami Heat
1631172,Ousmane Dieng,Oklahoma City Thunder
1631173,Terquavion Smith,Philadelphia 76ers
1631197,Jared Rhoden,Detroit Pistons
1631200,Kris Murray,Portland Trail Blazers
1631204,Marcus Sasser,Detroit Pistons
1631205,Buddy Boeheim,Detroit Pistons
1631207,Dalen Terry,Chicago Bulls
1631209,Isaiah Wong,Indiana Pacers
1631210,Jacob Toppin,New York Knicks
1631212,Peyton Watson,Denver Nuggets
1631214,Alondes Williams,Miami Heat
1631216,Caleb Houstan,Orlando Magic
1631217,Moussa Diabate,LA Clippers
1631218,Trayce Jackson-Davis,Golden State Warriors
1631220,Dereon Seabron,New Orleans Pelicans
1631221,Collin Gillespie,Denver Nuggets
1631222,Jake LaRavia,Memphis Grizzlies
1631223,David Roddy,Memphis Grizzlies
1631230,Dominick Barlow,San Antonio Spurs
1631241,Javon Freeman-Liberty,Toronto Raptors
1631243,Mouhamed Gueye,Atlanta Hawks
1631245,Quenton Jackson,Indiana Pacers
1631246,Vince Williams Jr.,Memphis Grizzlies
1631250,Pete Nance,Cleveland Cavaliers
1631254,Kenneth Lofton Jr.,Memphis Grizzlies
1631257,Jermaine Samuels Jr.,Houston Rockets
1631260,AJ Green,Milwaukee Bucks
1631262,Jules Bernard,Washington Wizards
1631288,Jamal Cain,Miami Heat
1631298,Jack White,Memphis Grizzlies
1631303,Justin Minaya,Portland Trail Blazers
1631306,Cole Swider,Miami Heat
1631311,Lester Quinones,Golden State Warriors
1631321,Sidy Cissoko,San Antonio Spurs
1631323,Simone Fontecchio,Utah Jazz
1631338,Mouhamadou Gueye,Toronto Raptors
1631367,Jacob Gilyard,Memphis Grizzlies
1631376,Dmytro Skapintsev,New York Knicks
1631386,Taze Moore,Portland Trail Blazers
1631466,Nate Williams,Houston Rockets
1641705,Victor Wembanyama,San Antonio Spurs
1641706,Brandon Miller,Charlotte Hornets
1641707,Taylor Hendricks,Utah Jazz
1641708,Amen Thompson,Houston Rockets
1641709,Ausar Thompson,Detroit Pistons
1641710,Anthony Black,Orlando Magic
1641711,Gradey Dick,Toronto Raptors
1641712,Rayan Rupert,Portland Trail Blazers
1641713,GG Jackson,Memphis Grizzlies
1641715,Cam Whitmore,Houston Rockets
1641716,Jarace Walker,Indiana Pacers
1641717,Cason Wallace,Oklahoma City Thunder
1641718,Keyonte George,Utah Jazz
1641720,Jalen Hood-Schifino,Los Angeles Lakers
1641721,Maxwell Lewis,Los Angeles Lakers
1641722,Jordan Hawkins,New Orleans Pelicans
1641723,Kobe Bufkin,Atlanta Hawks
1641724,Jett Howard,Orlando Magic
1641726,Dereck Lively II,Dallas Mavericks
1641727,Dariq Whitehead,Brooklyn Nets
1641729,Brice Sensabaugh,Utah Jazz
1641730,Noah Clowney,Brooklyn Nets
1641731,Bilal Coulibaly,Washington Wizards
1641732,Colby Jones,Sacramento Kings
1641733,Nick Smith Jr.,Charlotte Hornets
1641734,Emoni Bates,Cleveland Cavaliers
1641735,Amari Bailey,Charlotte Hornets
1641738,Kobe Brown,LA Clippers
1641739,Toumani Camara,Portland Trail Blazers
1641741,Ricky Council IV,Philadelphia 76ers
1641745,Adam Flagler,Oklahoma City Thunder
1641748,Andre Jackson Jr.,Milwaukee Bucks
1641749,Keyontae Johnson,Oklahoma City Thunder
1641753,Chris Livingston,Milwaukee Bucks
1641754,Seth Lundy,Atlanta Hawks
1641757,Jordan Miller,LA Clippers
1641763,Julian Phillips,Chicago Bulls
1641764,Brandin Podziemski,Golden State Warriors
1641765,Olivier-Maxence Prosper,Dallas Mavericks
1641766,Adama Sanogo,Chicago Bulls
1641767,Ben Sheppard,Indiana Pacers
1641771,Jalen Slawson,Sacramento Kings
1641774,Tristan Vukcevic,Washington Wizards
1641775,Jordan Walsh,Boston Celtics
1641778,Leaky Black,Charlotte Hornets
1641787,Tosan Evbuomwan,Detroit Pistons
1641788,Alex Fudge,Dallas Mavericks
1641793,D'Moi Hodge,Los Angeles Lakers
1641806,Markquis Nowell,Toronto Raptors
1641809,Drew Peterson,Boston Celtics
1641816,Hunter Tyson,Denver Nuggets
1641847,Andrew Funk,Chicago Bulls
1641851,Timmy Allen,Memphis Grizzlies
1641854,Craig Porter Jr.,Cleveland Cavaliers
1641871,Duop Reath,Portland Trail Blazers
1641877,Nathan Mensah,Charlotte Hornets
1641926,Dexter Dennis,Dallas Mavericks
1641931,Onuralp Bitim,Chicago Bulls
1641970,Maozinha Pereira,Memphis Grizzlies
1641998,Trey Jemison,Memphis Grizzlies
1642013,Malik Williams,Toronto Raptors
